4100 7962
2308 3206 858
1264 462 847
324 850 92
692 1556 41
1756 2861 666
1920 1879 236
1543 67 973
655 648 705
1318 1083 474
2968 2401 127
3891 2656 865
2857 505 711
47 3067 987
2463 2665 204
2145 2910 153
3566 74 195
2282 724 484
2118 2759 665
1827 1722 218
896 148 912
1421 3688 468
1784 3147 95
2130 612 931
3927 1738 145
2913 4008 824
2848 2586 388
854 1198 919
2062 3750 460
3342 1495 771
31 2669 436
2762 1234 543
3956 2705 761
3056 2894 177
705 3393 638
290 3776 250
2521 3827 212
754 1948 935
2766 162 66
3907 3806 252
2430 971 718
86 2243 634
4054 1874 71
2681 934 401
2924 2506 291
566 4050 57
2865 3893 850
2781 687 349
328 659 189
1582 75 497
2234 1024 499
4029 1526 921
1512 2959 334
546 3982 460
2252 2702 945
3714 3959 780
2154 2198 235
1856 1985 670
2567 1360 165
1708 2502 332
1658 2543 741
3351 1210 620
668 3316 196
3561 4027 47
1591 1971 137
1071 3442 754
647 3021 189
2319 3479 947
2651 2566 304
2753 1884 634
378 148 618
4000 3983 998
760 2512 713
1014 603 347
3919 2570 636
1414 2776 915
795 422 267
756 3202 124
284 3727 822
3352 1176 34
2632 990 784
598 917 397
1016 370 643
1613 2223 98
1220 3199 467
3022 1048 135
115 1279 859
4015 1757 285
3778 1655 618
2572 2967 786
1606 1722 272
3303 120 673
988 2331 207
26 1245 480
383 1001 95
552 2059 839
1723 4013 225
2695 292 234
2408 2257 714
1661 3898 842
2851 987 593
153 1998 605
1615 1466 177
3917 378 262
2209 1379 159
835 942 505
1563 3426 920
938 2381 930
1743 3251 459
2943 1090 944
3507 1361 452
1118 3430 659
3409 3226 384
2333 837 30
3863 335 550
1627 1851 231
1579 2536 307
889 1470 34
1385 49 690
810 1971 187
1783 2267 897
3060 3670 545
1914 3077 593
795 2555 57
3053 3296 119
4055 1311 250
489 4086 530
2196 3299 946
3086 4079 924
3252 3825 763
377 1734 991
1731 1009 820
620 3639 506
3054 2271 654
1137 540 19
3341 591 672
2025 2036 563
3420 3797 888
1618 344 769
3882 2337 403
456 3326 398
3298 496 823
4095 2529 415
399 2949 166
1273 719 489
1440 695 335
1809 3930 449
3324 1336 212
3065 246 513
28 3615 185
1022 665 306
3863 2530 329
2025 3833 621
42 3111 631
1606 2186 44
1565 2340 497
3513 2368 625
1403 1164 455
2273 3476 321
1905 2560 180
3885 1531 183
3231 3096 602
1577 2322 114
2686 2853 356
631 142 424
821 1445 513
3613 201 467
3466 2473 24
1808 612 17
2966 2227 172
1311 978 297
2665 3373 873
3533 3487 530
309 1223 56
3222 1887 220
1827 1081 695
2147 2406 383
434 1300 667
2936 3078 158
932 1041 695
3468 2261 594
1149 2197 294
255 1819 782
3294 2231 714
1380 2586 649
3811 2970 695
2315 1992 293
653 65 781
3579 2509 233
577 1283 410
628 2286 510
3342 1321 889
2216 2723 269
3752 303 531
4066 3982 853
1725 3365 103
828 1323 135
1213 2674 297
5 3202 758
1030 1489 531
2194 3027 277
1537 869 761
2600 707 878
1568 1975 153
2799 2074 825
600 1239 252
3602 2305 870
3994 3198 32
2867 3615 375
561 588 303
1569 2926 675
3818 1867 857
1141 61 762
2502 1955 831
2038 3798 898
1327 3281 28
3932 3804 905
2875 3074 375
234 1659 689
2042 972 681
3963 3917 602
2904 1098 159
3752 4026 504
225 3505 294
492 2547 346
2851 2206 697
2814 4015 958
2121 3321 513
1326 3688 995
477 1144 906
3495 907 959
131 1488 859
279 1059 444
2564 2986 898
3375 2867 547
70 3074 415
2957 327 375
2636 3040 425
2387 397 306
2132 567 806
2829 2724 356
1183 562 248
1111 4015 10
3342 1684 193
78 429 525
670 465 896
2118 1543 611
1874 306 259
417 55 705
2457 1259 338
797 3695 442
724 3509 1000
1390 2753 106
1438 4040 115
2063 1349 529
1829 579 485
491 3138 90
3831 2358 746
3614 1880 479
1181 1478 733
2313 2176 912
2331 1797 689
2591 3255 699
3911 3231 830
3080 3770 121
3876 1359 13
1549 2259 163
15 3727 574
40 2445 922
307 3774 619
2459 775 555
1244 445 174
3740 1143 619
460 2443 40
1336 794 745
2201 2479 833
1403 459 670
781 2595 556
1304 38 645
2002 4048 785
2112 2202 526
2554 670 171
2680 221 725
339 1434 302
1007 2546 891
3339 3745 521
2140 3282 14
2733 284 236
2422 1016 73
1897 194 329
914 1365 158
1265 30 80
154 3030 977
2734 2591 641
2579 2423 653
3519 2509 959
2687 2252 640
3585 2747 340
741 2629 868
2748 2104 19
1891 3218 356
3367 868 212
2144 641 294
1680 2968 251
2582 1976 399
2501 1322 460
342 1548 243
702 2572 230
767 1117 858
2287 2054 751
1030 3862 411
689 281 35
1063 3249 699
629 915 176
3417 2971 854
3900 2525 369
627 2358 585
929 1669 509
1672 1483 770
2403 3684 654
2818 1130 780
3353 707 657
581 2934 781
1818 2823 542
3241 883 459
3046 3792 910
569 323 138
2287 852 546
2297 2000 118
3438 875 429
2217 3591 65
1348 8 690
3571 3140 347
1887 3944 35
1269 1036 542
3234 3716 281
3422 2270 508
1218 3883 176
1978 3148 523
2481 1600 916
863 2957 957
2320 736 366
1667 384 825
3313 2853 254
3239 3161 732
1535 765 827
3006 3263 793
1155 1329 555
1094 3794 634
3125 3828 908
741 3713 201
1789 1234 351
521 3443 686
2562 3845 736
2493 3671 50
2123 1212 154
961 3104 314
1308 1254 389
1708 510 222
2335 1213 723
3927 3014 350
2488 1411 106
2515 1015 870
1824 2023 799
2723 2925 105
855 737 721
4082 2783 232
2211 464 252
3980 2397 806
3443 516 48
3088 1589 855
1767 818 446
1158 3485 115
3341 3346 924
547 3196 733
372 986 261
2349 1353 373
2856 1121 553
444 2328 211
771 1358 361
779 906 384
1184 1770 417
3305 175 968
2612 3276 219
3565 8 324
1753 1099 928
3452 1753 208
1488 1890 113
1586 4023 594
1614 3655 593
3849 2457 772
3851 1928 638
1923 339 60
523 1630 256
3980 1967 622
431 2037 901
2672 887 514
875 1067 644
3672 404 208
2915 3082 656
1060 806 113
2099 3546 616
2607 390 594
2363 3878 57
2737 3338 151
1444 636 749
923 1041 464
1408 2702 11
1991 3005 651
3884 3118 590
563 2366 334
1764 1573 198
3939 1245 808
3041 2395 185
1724 3210 323
2120 3456 846
3144 1996 576
2917 2861 22
943 307 458
4014 3412 999
2805 257 966
1638 2994 871
855 3284 136
1639 221 600
3762 4090 44
2066 1588 243
2291 1854 327
2253 3275 256
133 467 164
3884 4047 104
2210 1712 689
3634 440 697
3518 3884 850
2983 936 411
2796 1464 743
1790 617 688
2652 3856 871
1531 1710 158
138 3912 544
2134 1230 575
1018 3318 137
278 2393 631
3527 317 63
3595 3589 943
865 1129 270
4004 999 975
672 1422 901
789 1147 61
3844 1367 624
3603 3260 111
2853 1468 206
2321 2386 200
2466 3070 59
303 3887 82
1478 3890 111
486 2192 115
3317 2028 795
1442 694 87
3278 720 100
2063 1140 894
1643 158 161
1864 303 72
372 2335 39
3220 2234 124
2606 660 524
1610 664 527
1567 28 580
3059 513 256
3410 1175 341
2873 1648 355
3088 761 641
630 2702 314
587 4024 707
2334 3085 13
2583 3841 939
611 3702 408
2897 217 926
1437 3166 512
1563 1494 187
1383 3976 466
